ring_id,fiber_id,x,y,d,disp,type
24,81,192.2563466992043,739.9968251713091,35.3,3,std
24,103,544.7268699639269,536.4987901377717,35.3,3,std
24,131,736.9841237298083,203.49993397301313,35.3,3,std
24,120,736.9841237298083,-203.499933973013,35.3,3,std
24,102,544.7268699639268,-536.4987901378317,35.3,3,std
24,80,192.25634669920413,-739.9968251713909,35.3,3,std
24,56,-192.25634669917866,-739.996825171391,35.3,3,std
24,34,-544.7268699639014,-536.4987901378317,35.3,3,std
24,6,-736.9841237297829,-203.4999339730136,35.3,3,std
24,17,-736.9841237297829,203.49993397301301,35.3,3,std
24,33,-576.7695968627548,517.9989110294935,35.3,3,std
24,57,-192.25634669917878,739.9968251713091,35.3,3,std
19,64,160.21404820067116,573.4985221622313,35.3,3,std
19,44,-160.21404820064615,573.4985221622313,35.3,3,std
19,80,416.5567665881456,425.49939643213435,35.3,3,std
19,102,576.7712671645096,147.99997460098697,35.3,3,std
19,94,576.7712671645096,-147.9999746011803,35.3,3,std
19,79,416.5567665881452,-425.4993964321918,35.3,3,std
19,63,160.21404820067113,-573.4985221623252,35.3,3,std
19,43,-160.21404820064583,-573.4985221623252,35.3,3,std
19,27,-416.5567665881198,-425.49939643219204,35.3,3,std
19,5,-576.7712671644842,-147.9999746011808,35.3,3,std
19,13,-576.7712671644842,147.99997460098692,35.3,3,std
19,26,-448.59957854820726,406.99947178492863,35.3,3,std
